GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
moshi,edu.brown.cs32.examples.moshiExample.csv,CsvParser,6,79,2,6,2,25,2,4,0,2
moshi,edu.brown.cs32.examples.moshiExample.csv,FactoryFailureException,6,0,0,0,3,0,1,0,1,0
moshi,edu.brown.cs32.examples.moshiExample.server.handlers,ResponseUtilities,5,29,0,0,3,5,0,2,0,2
moshi,edu.brown.cs32.examples.moshiExample.server.handlers,getCSVHandler,6,58,0,2,1,14,1,4,1,3
moshi,edu.brown.cs32.examples.moshiExample.server.handlers,APIUtilities,3,30,0,0,1,7,1,1,1,1
moshi,edu.brown.cs32.examples.moshiExample.server.handlers,loadCSVHandler,37,107,0,4,7,22,1,5,1,3
moshi,edu.brown.cs32.examples.moshiExample.server.handlers,WeatherHandler,0,162,1,3,0,34,1,6,0,5
moshi,edu.brown.cs32.examples.moshiExample.csv.attachments,RowParser,54,0,8,0,13,0,6,0,2,0
moshi,edu.brown.cs32.examples.moshiExample.csv.attachments,CSVStringParser,0,5,0,0,0,2,0,2,0,2
moshi,edu.brown.cs32.examples.moshiExample.csv.attachments,PersonParser,28,0,2,0,6,0,3,0,2,0
moshi,edu.brown.cs32.examples.moshiExample.weather,GridProperty,0,3,0,0,0,1,0,1,0,1
moshi,edu.brown.cs32.examples.moshiExample.weather,TemperatureData,0,3,0,0,0,1,0,1,0,1
moshi,edu.brown.cs32.examples.moshiExample.weather,ForecastData,0,3,0,0,0,1,0,1,0,1
moshi,edu.brown.cs32.examples.moshiExample.weather,Period,0,3,0,0,0,1,0,1,0,1
moshi,edu.brown.cs32.examples.moshiExample.weather,Grid,0,3,0,0,0,1,0,1,0,1
moshi,edu.brown.cs32.examples.moshiExample.server,Server,48,0,0,0,14,0,3,0,3,0
moshi,edu.brown.cs32.examples.moshiExample.csv.attachmentutilities,Person,24,0,0,0,2,0,4,0,4,0
moshi,edu.brown.cs32.examples.moshiExample.csv.attachmentutilities,Row,12,0,0,0,5,0,1,0,1,0
moshi,edu.brown.cs32.examples.moshiExample.csv.attachmentutilities,RowCount,75,0,8,0,20,0,9,0,5,0
